GPU Memory Track | 06-Jun-22-15:40:23 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 1 * Size:(450, 40)            | Memory: 0.0686 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(839, 1)             | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(839, 482)           | Memory: 3.0853 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(451, 5)             | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(839, 932)           | Memory: 119.31 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(451,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
+ | 19 * Size:(3356,)              | Memory: 0.4864 M | <class 'torch.Tensor'> | torch.int64
+ | 39 * Size:(839, 4, 450)        | Memory: 224.67 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(839,)               | Memory: 0.0128 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(451, 450)           | Memory: 0.7741 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(2255,)              | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(451, 932)           | Memory: 1.6034 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(839, 4)             | Memory: 0.0256 M | <class 'torch.Tensor'> | torch.int64
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:670.8  Mb Total Allocated Memory:566.4  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:670.8  Mb Total Allocated Memory:566.4  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1685, 6)            | Memory: 0.0771 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1685, 82)           | Memory: 0.5270 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1685, 450)          | Memory: 5.7849 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(776, 521)           | Memory: 1.5422 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4656,)              | Memory: 0.0355 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(10110,)             | Memory: 0.1542 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(776, 6)             | Memory: 0.0355 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:679.1  Mb Total Allocated Memory:584.8  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 20 * Size:(3356, 450)          | Memory: 115.21 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(1685, 82)           | Memory: 0.5270 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(839, 4, 450)        | Memory: 224.67 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4656,)              | Memory: 0.0355 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(2255,)              | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1685, 6)            | Memory: 0.0771 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(839, 1)             | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(839,)               | Memory: 0.0128 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(451, 450)           | Memory: 0.7741 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1685, 450)          | Memory: 5.7849 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(3356,)              | Memory: 0.4864 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(10110,)             | Memory: 0.1542 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(776, 6)             | Memory: 0.0355 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(451, 932)           | Memory: 1.6034 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(776, 521)           | Memory: 1.5422 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(839, 450)           | Memory: 115.21 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(451, 5)             | Memory: 0.0172 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(839, 482)           | Memory: 3.0853 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(839, 932)           | Memory: 119.31 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(451,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(839, 4)             | Memory: 0.0256 M | <class 'torch.Tensor'> | torch.int64

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2190,)              | Memory: 0.0167 M | <class 'torch.Tensor'> | torch.int64
+ | 39 * Size:(813, 4, 450)        | Memory: 217.71 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(813, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(438, 450)           | Memory: 0.7518 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(813, 932)           | Memory: 115.61 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(3252, 450)          | Memory: 111.64 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(438, 5)             | Memory: 0.0167 M | <class 'torch.Tensor'> | torch.int64
+ | 19 * Size:(3252,)              | Memory: 0.4714 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(438,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(813, 4)             | Memory: 0.0248 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(813, 482)           | Memory: 2.9897 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(813,)               | Memory: 0.0124 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(438, 932)           | Memory: 1.5572 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(813, 450)           | Memory: 111.64 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:652.8  Mb Total Allocated Memory:558.6  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:652.8  Mb Total Allocated Memory:558.6  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1627, 6)            | Memory: 0.0744 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1627, 82)           | Memory: 0.5089 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4512,)              | Memory: 0.0344 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(752, 6)             | Memory: 0.0344 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(9762,)              | Memory: 0.1489 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(752, 521)           | Memory: 1.4945 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1627, 450)          | Memory: 5.5858 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:660.8  Mb Total Allocated Memory:576.3  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(2190,)              | Memory: 0.0167 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(438, 5)             | Memory: 0.0167 M | <class 'torch.Tensor'> | torch.int64
- | 19 * Size:(3252,)              | Memory: 0.4714 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(438, 932)           | Memory: 1.5572 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(813, 4, 450)        | Memory: 217.71 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(813, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(438, 450)           | Memory: 0.7518 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(813, 932)           | Memory: 115.61 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(752, 6)             | Memory: 0.0344 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(752, 521)           | Memory: 1.4945 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(813,)               | Memory: 0.0124 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1627, 6)            | Memory: 0.0744 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1627, 82)           | Memory: 0.5089 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4512,)              | Memory: 0.0344 M | <class 'torch.Tensor'> | torch.int64
- | 20 * Size:(3252, 450)          | Memory: 111.64 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(438,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(813, 4)             | Memory: 0.0248 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(813, 450)           | Memory: 111.64 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9762,)              | Memory: 0.1489 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(813, 482)           | Memory: 2.9897 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1627, 450)          | Memory: 5.5858 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 13 * Size:(450, 932)           | Memory: 20.798 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(837,)               | Memory: 0.0127 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(3348, 450)          | Memory: 114.94 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 21 * Size:(450, 450)           | Memory: 16.222 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(837, 932)           | Memory: 119.03 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(837, 450)           | Memory: 114.94 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(837, 482)           | Memory: 3.0779 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(450,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
+ | 19 * Size:(3348,)              | Memory: 0.4853 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(450, 5)             | Memory: 0.0171 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(837, 4)             | Memory: 0.0255 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(837, 4, 450)        | Memory: 224.14 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(837, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2250,)              | Memory: 0.0171 M | <class 'torch.Tensor'> | torch.int64
+ | 21 * Size:(450, 450)           | Memory: 16.222 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 13 * Size:(450, 932)           | Memory: 20.798 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 20 * Size:(450, 450)           | Memory: 15.449 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 20 * Size:(450, 450)           | Memory: 15.449 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 12 * Size:(450, 932)           | Memory: 19.198 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 12 * Size:(450, 932)           | Memory: 19.198 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:669.4  Mb Total Allocated Memory:565.6  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:669.4  Mb Total Allocated Memory:565.6  Mb

+ | 1 * Size:(701, 6)             | Memory: 0.0320 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1501, 82)           | Memory: 0.4695 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9006,)              | Memory: 0.1374 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1501, 450)          | Memory: 5.1532 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4206,)              | Memory: 0.0320 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1501, 6)            | Memory: 0.0687 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(701, 521)           | Memory: 1.3932 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:676.8  Mb Total Allocated Memory:582.4  Mb

+ | 20 * Size:(450, 450)           | Memory: 15.449 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 20 * Size:(450, 450)           | Memory: 15.449 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 12 * Size:(450, 932)           | Memory: 19.198 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 12 * Size:(450, 932)           | Memory: 19.198 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 13 * Size:(450, 932)           | Memory: 20.798 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(837,)               | Memory: 0.0127 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(9006,)              | Memory: 0.1374 M | <class 'torch.Tensor'> | torch.int64
- | 20 * Size:(3348, 450)          | Memory: 114.94 M | <class 'torch.Tensor'> | torch.float32
- | 21 * Size:(450, 450)           | Memory: 16.222 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(837, 932)           | Memory: 119.03 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1501, 82)           | Memory: 0.4695 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(837, 450)           | Memory: 114.94 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1501, 6)            | Memory: 0.0687 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(837, 482)           | Memory: 3.0779 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(701, 6)             | Memory: 0.0320 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(450,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(1501, 450)          | Memory: 5.1532 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(3348,)              | Memory: 0.4853 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4206,)              | Memory: 0.0320 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(450, 5)             | Memory: 0.0171 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(701, 521)           | Memory: 1.3932 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(837, 4)             | Memory: 0.0255 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(837, 4, 450)        | Memory: 224.14 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(837, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(2250,)              | Memory: 0.0171 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 21 * Size:(450, 450)           | Memory: 16.222 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 13 * Size:(450, 932)           | Memory: 20.798 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 39 * Size:(851, 4, 450)        | Memory: 227.89 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(457, 450)           | Memory: 0.7844 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(851, 482)           | Memory: 3.1294 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(457, 5)             | Memory: 0.0174 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(3404, 450)          | Memory: 116.86 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(851, 450)           | Memory: 116.86 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(851,)               | Memory: 0.0129 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2285,)              | Memory: 0.0174 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(851, 1)             | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(3404,)              | Memory: 0.4934 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(851, 932)           | Memory: 121.02 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(457,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(457, 932)           | Memory: 1.6247 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(851, 4)             | Memory: 0.0259 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:679.1  Mb Total Allocated Memory:584.9  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:679.1  Mb Total Allocated Memory:584.9  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(4488,)              | Memory: 0.0342 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(1611, 450)          | Memory: 5.5309 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9666,)              | Memory: 0.1474 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(748, 521)           | Memory: 1.4866 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1611, 6)            | Memory: 0.0737 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(748, 6)             | Memory: 0.0342 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1611, 82)           | Memory: 0.5039 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:687.0  Mb Total Allocated Memory:602.4  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(4488,)              | Memory: 0.0342 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(851, 450)           | Memory: 116.86 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(2285,)              | Memory: 0.0174 M | <class 'torch.Tensor'> | torch.int64
- | 19 * Size:(3404,)              | Memory: 0.4934 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1611, 6)            | Memory: 0.0737 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(457,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1611, 82)           | Memory: 0.5039 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(851, 4, 450)        | Memory: 227.89 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(748, 521)           | Memory: 1.4866 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(457, 450)           | Memory: 0.7844 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9666,)              | Memory: 0.1474 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(851,)               | Memory: 0.0129 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(851, 1)             | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(851, 932)           | Memory: 121.02 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(748, 6)             | Memory: 0.0342 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(851, 482)           | Memory: 3.1294 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(457, 5)             | Memory: 0.0174 M | <class 'torch.Tensor'> | torch.int64
- | 20 * Size:(3404, 450)          | Memory: 116.86 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1611, 450)          | Memory: 5.5309 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(457, 932)           | Memory: 1.6247 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(851, 4)             | Memory: 0.0259 M | <class 'torch.Tensor'> | torch.int64

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 19 * Size:(2379,)              | Memory: 0.3448 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(428, 4)             | Memory: 0.0130 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(793, 482)           | Memory: 2.9161 M | <class 'torch.Tensor'> | torch.float32
